name,technique
Manhattan,STIRRED
Whisky Sour,SHAKEN_WITH_EGG
Daiquiri,SHAKEN
Hemingway Daiquiri,SHAKEN
Negroni,STIRRED
Cliff Old Fashioned,BUILT
Blender Marg,BLENDED
Carbonated Negroni,CARBONATED
Spritz,CARBONATED
Spanish Negroni,STIRRED
End Game,SHAKEN
Tequila Sunrise,SHAKEN
Aviation,SHAKEN
Cocoon,SHAKEN
Smocked cinnamon apple cocktail,BUILT
Café Touba,SHAKEN
Tea time,SHAKEN
Glo-sour,SHAKEN
Tasteful nudes,SHAKEN
Rosemary Greyhound,STIRRED
Naked and fizzy,CARBONATED
Moonshine sour,SHAKEN
Vodka sour,SHAKEN
Grass vodka sour,SHAKEN
Cherry Bushmills sour,SHAKEN
Hibiscus politan,SHAKEN
Power mule,SHAKEN
Reduced Moscow mule,SHAKEN
